"","model","winnow","trials","Accuracy","Kappa","AccuracySD","KappaSD"
"1","tree","FALSE",1,0.778322843391337,0.0960299581831301,0.0300646278945275,0.115625903983227
"2","tree","FALSE",5,0.835338763420955,0.259428288405826,0.025529730868357,0.147794328167899
"3","tree","FALSE",10,0.838004442798963,0.209295153323079,0.0241958828207997,0.119682253713374
"4","tree","FALSE",15,0.840707145501666,0.240155754471081,0.0293324349889964,0.160526607941377
"5","tree","FALSE",20,0.842021473528323,0.223713901787128,0.0371310703363181,0.173741168193209
