"","model","kappa"
"1","Logistic Regression",0.367117459352682
"2","KNN",0.174531292455394
"3","ANN",0.303153686160088
"4","SVM",0.392493278926716
"5","Decision Tree",0.250358565737052
"6","Random Forest",0.214646775983233
